LastName,FirstName,Other_Info,Age,Gender,Hometown,Boarded,Lifeboat,Body,Class,Survived,Passenger,Crew,crew_responsibility
Carter,Miss Lucile Polk,,13,F,,Southampton,,,1,1,1,0,
Carter,Master William Thornton II,,11,M,,Southampton,,,1,1,1,0,
Case,Mr Howard Brown,,49,M,,Southampton,,,1,0,1,0,
Cassebeer,Mrs Eleanor Genevieve,,36,F,,Cherbourg,,,1,1,1,0,
Cavendish,Mr Tyrell William,,36,M,,Southampton,,,1,0,1,0,
Cavendish,Mrs Julia Florence,,25,F,,Southampton,,,1,1,1,0,
Chaffee,Mr Herbert Fuller,,46,M,,Southampton,,,1,0,1,0,
Chaffee,Mrs Carrie Constance,,47,F,,Southampton,,,1,1,1,0,
Chambers,Mr Norman Campbell,,27,M,,Southampton,,,1,1,1,0,
Chambers,Mrs Bertha,,32,F,,Southampton,,,1,1,1,0,
Chaudanson,Miss Victorine    ,(Maid to Mrs Emily Ryerson),36,F,,Cherbourg,,,1,1,1,0,
Cherry,Miss Gladys,,30,F,,Southampton,,,1,1,1,0,
Chevre,Mr Paul Romaine Marie Leonce,,45,M,,Cherbourg,,,1,1,1,0,
Chibnall,Mrs Edith Martha Bowerman,,48,F,,Southampton,,,1,1,1,0,
Chisholm,Mr Roderick Robert Crispin,,43,M,,Belfast,,,1,0,1,0,
Clark,Mr Walter Miller,,27,M,,Cherbourg,,,1,0,1,0,
Clark,Mrs Virginia Estelle,,26,F,,Cherbourg,,,1,1,1,0,
Cleaver,Miss Alice Catherine    ,(Nanny to Master Hudson Trevor Allison),22,F,,Southampton,,,1,1,1,0,
Clifford,Mr George Quincy,,40,M,,Southampton,,,1,0,1,0,
Colley,Mr Edward Pomeroy,,37,M,,Southampton,,,1,0,1,0,
Compton,Mrs Mary Eliza,,64,F,,Cherbourg,,,1,1,1,0,
Compton,Miss Sara Rebecca,,39,F,,Cherbourg,,,1,1,1,0,
Compton,Mr Alexander Taylor Jr,,37,M,,Cherbourg,,,1,0,1,0,
Cornell,Mrs Malvina Helen,,55,F,,Southampton,,,1,1,1,0,
Crafton,Mr John Bertram,,59,M,,Southampton,,,1,0,1,0,
Crosby,Captain Edward Gifford,,70,M,,Southampton,,,1,0,1,0,
Crosby,Mrs Catherine Elizabeth,,64,F,,Southampton,,,1,1,1,0,
Crosby,Miss Harriette Rebecca,,39,F,,Southampton,,,1,1,1,0,
Cumings,Mr John Bradley,,39,M,,Cherbourg,,,1,0,1,0,
Cumings,Mrs Florence Briggs,,35,F,,Cherbourg,,,1,1,1,0,
Daly,Mr Peter Dennis,,51,M,,Southampton,,,1,0,1,0,
Daniel,Mr Robert Williams,,27,M,,Southampton,,,1,1,1,0,
Daniels,Miss Sarah Rebecca    ,(Maid to Mr & Mrs Allison),33,F,,Southampton,,,1,1,1,0,
Davidson,Mr Thornton,,31,M,,Cherbourg,,,1,0,1,0,
Davidson,Mrs Orian,,27,F,,Cherbourg,,,1,1,1,0,
Dick,Mr Albert Adrian,,31,M,,Southampton,,,1,1,1,0,
Dick,Mrs Vera,,17,F,,Southampton,,,1,1,1,0,
Dodge,Dr Washington,,52,M,,Southampton,,,1,1,1,0,
Dodge,Mrs Ruth,,34,F,,Southampton,,,1,1,1,0,
Dodge,Master Washington,,4,M,,Southampton,,,1,1,1,0,
Douglas,Mr Walter Donald,,50,M,,Cherbourg,,,1,0,1,0,
Douglas,Mrs Mahala,,48,F,,Cherbourg,,,1,1,1,0,
Douglas,Mrs Mary Helène,,27,F,,Cherbourg,,,1,1,1,0,
Duff Gordon,Sir Cosmo Edmund,,49,M,,Cherbourg,,,1,1,1,0,
Duff Gordon,"Lucy Christiana, Lady",,48,M,,Cherbourg,,,1,1,1,0,
Dulles,Mr William Crothers,,39,M,,Cherbourg,,,1,0,1,0,
Earnshaw,Mrs Olive,,23,F,,Cherbourg,,,1,1,1,0,
Endres,Miss Caroline Louise    ,(Nurse to Mrs Madeleine Astor),39,F,,Cherbourg,,,1,1,1,0,
Eustis,Miss Elizabeth Mussey,,54,F,,Cherbourg,,,1,1,1,0,
Evans,Miss Edith Corse,,36,F,,Cherbourg,,,1,0,1,0,
Farthing,Mr John    ,(Manservant to Mr & Mrs Straus),57,M,,Southampton,,,1,0,1,0,
Flegenheim,Mrs Antoinette,,48,F,,Cherbourg,,,1,1,1,0,
Fleming,Miss Margaret    ,(Maid to Mr & Mrs Thayer),42,F,,Cherbourg,,,1,1,1,0,
Flynn,Mr John Irwin,,36,M,,Southampton,,,1,1,1,0,
Foreman,Mr Benjamin Laventall,,30,M,,Southampton,,,1,0,1,0,
Fortune,Mr Mark,,64,M,,Southampton,,,1,0,1,0,
Fortune,Mrs Mary,,60,F,,Southampton,,,1,1,1,0,
Fortune,Miss Ethel Flora,,28,F,,Southampton,,,1,1,1,0,
Fortune,Miss Alice Elizabeth,,24,F,,Southampton,,,1,1,1,0,
Fortune,Miss Mabel Helen,,23,F,,Southampton,,,1,1,1,0,
Fortune,Mr Charles Alexander,,19,M,,Southampton,,,1,0,1,0,
Francatelli,Miss Laura Mabel    ,(Secretary to Lady Duff-Gordon),31,F,,Cherbourg,,,1,1,1,0,
Franklin,Mr Thomas Parnham,,37,M,,Southampton,,,1,0,1,0,
Frauenthal,Mr Isaac Gerald,,43,M,,Cherbourg,,,1,1,1,0,
Frauenthal,Dr Henry William,,49,M,,Southampton,,,1,1,1,0,
Frauenthal,Mrs Clara,,42,F,,Southampton,,,1,1,1,0,
Frolicher,Miss Hedwig Margaritha,,22,F,,Cherbourg,,,1,1,1,0,
Frolicher-Stehli,Mr Maximilian Josef,,60,M,,Cherbourg,,,1,1,1,0,
Frolicher-Stehli,Mrs Margaretha Emerentia,,48,F,,Cherbourg,,,1,1,1,0,
Fry,Mr Richard    ,(Valet to Mr Joseph Bruce Ismay),39,M,,Southampton,,,1,0,1,0,
Futrelle,Mr Jacques Heath,,37,M,,Southampton,,,1,0,1,0,
Futrelle,Mrs Lily May,,35,F,,Southampton,,,1,1,1,0,
Gee,Mr Arthur H.,,47,M,,Southampton,,,1,0,1,0,
Gibson,Mrs Pauline Caroline,,44,F,,Cherbourg,,,1,1,1,0,
Gibson,Miss Dorothy Winifred,,22,F,,Cherbourg,,,1,1,1,0,
Gieger,Miss Amalie    ,(Maid to Mrs George Dunton Widener),35,F,,Southampton,,,1,1,1,0,
Giglio,Mr Victor Gaitan Andrea    ,(Valet to Mr Benjamin Guggenheim),23,M,,Cherbourg,,,1,0,1,0,
Goldenberg,Mr Samuel L.,,47,M,,Cherbourg,,,1,1,1,0,
Goldenberg,Mrs Nella,,40,F,,Cherbourg,,,1,1,1,0,
Goldschmidt,Mr George B.,,71,M,,Cherbourg,,,1,0,1,0,
Gracie,Colonel Archibald,,53,M,,Southampton,,,1,1,1,0,
Graham,Mr George Edward,,38,M,,Southampton,,,1,0,1,0,
Graham,Mrs Edith,,59,F,,Southampton,,,1,1,1,0,
Graham,Miss Margaret Edith,,19,F,,Southampton,,,1,1,1,0,
Greenfield,Mrs Blanche,,45,F,,Cherbourg,,,1,1,1,0,
Greenfield,Mr William Bertram,,23,M,,Cherbourg,,,1,1,1,0,
Guggenheim,Mr Benjamin,,46,M,,Cherbourg,,,1,0,1,0,
Harder,Mr George Achilles,,25,M,,Cherbourg,,,1,1,1,0,
Harder,Mrs Dorothy,,21,F,,Cherbourg,,,1,1,1,0,
Harper,Mr Henry Sleeper,,48,M,,Cherbourg,,,1,1,1,0,
Harper,Mrs Myra Raymond,,49,F,,Cherbourg,,,1,1,1,0,
Harrington,Mr Charles Henry    ,(Manservant to Mr Clarence Bloomfield Moore),37,M,,Southampton,,,1,0,1,0,
Harris,Mr Henry Birkhardt,,45,M,,Southampton,,,1,0,1,0,
Harris,Mrs Irene,,35,F,,Southampton,,,1,1,1,0,
Harrison,Mr William Henry    ,(Private secretary to Mr Joseph Bruce Ismay),45,M,,Southampton,,,1,0,1,0,
Hassab,Mr Hammad    ,(Interpreter to Mr Henry Sleeper Harper),27,M,,Cherbourg,,,1,1,1,0,
Hawksford,Mr Walter James,,45,M,,Southampton,,,1,1,1,0,
Hays,Mr Charles Melville,,55,M,,Southampton,,,1,0,1,0,
Hays,Mrs Clara Jennings,,52,F,,Southampton,,,1,1,1,0,
Hays,Miss Margaret Bechstein,,24,F,,Cherbourg,,,1,1,1,0,
Head,Mr Christopher,,42,M,,Southampton,,,1,0,1,0,
Hilliard,Mr Herbert Henry,,44,M,,Southampton,,,1,0,1,0,
Hipkins,Mr William Edward,,55,M,,Southampton,,,1,0,1,0,
Hippach,Mrs Ida Sophia,,44,F,,Cherbourg,,,1,1,1,0,
Hippach,Miss Jean Gertrude,,17,F,,Cherbourg,,,1,1,1,0,
Hogeboom,Mrs Anna Louisa,,51,F,,Cherbourg,,,1,1,1,0,
Holverson,Mr Alexander Oskar,,42,M,,Southampton,,,1,0,1,0,
Holverson,Mrs Mary Aline,,35,F,,Southampton,,,1,1,1,0,
Homer,Mr Harry,,40,M,,Southampton,,,1,1,1,0,
Hoyt,Mr Frederick Maxfield,,38,M,,Southampton,,,1,1,1,0,
Hoyt,Mrs Jane Anne,,31,F,,Southampton,,,1,1,1,0,
Hoyt,Mr William Fisher,,42,M,,Cherbourg,,,1,1,1,0,
Icard,Miss Rose Amelie    ,(Maid to Mrs George Nelson Stone),39,F,,Southampton,,,1,1,1,0,
Isham,Miss Ann Elizabeth,,50,F,,Cherbourg,,,1,0,1,0,
Ismay,Mr Joseph Bruce,,49,M,,Southampton,,,1,1,1,0,
Jones,Mr Charles Cresson,,46,M,,Southampton,,,1,0,1,0,
Julian,Mr Henry Forbes,,50,M,,Southampton,,,1,0,1,0,
Keeping,Mr Edwin Herbert    ,(Manservant to Mr & Mrs Widener),33,M,,Southampton,,,1,0,1,0,
Kent,Mr Edward Austin,,58,M,,Cherbourg,,,1,0,1,0,
Kenyon,Mr Frederick Roland,,41,M,,Southampton,,,1,0,1,0,
Kenyon,Mrs Marion Estelle,,40,F,,Southampton,,,1,1,1,0,
Kimball,Mr Edwin Nelson Jr.,,42,M,,Southampton,,,1,1,1,0,
Kimball,Mrs Susan Gertrude,,45,F,,Southampton,,,1,1,1,0,
Klaber,Mr Herman,,41,M,,Southampton,,,1,0,1,0,
Kreuchen,Miss Emilie    ,(Maid to Mrs Edward Scott Robert),29,F,,Southampton,,,1,1,1,0,
Leader,Dr Alice May,,49,M,,Southampton,,,1,1,1,0,
Leroy,Miss Berthe    ,(Maid to Mrs Walter Donald Douglas),27,F,,Cherbourg,,,1,1,1,0,
Lesueur,Mr Gustave J.    ,(Manservant to Mr Thomas Cardeza),35,M,,Cherbourg,,,1,1,1,0,
Lewy,Mr Ervin G.,,30,M,,Cherbourg,,,1,0,1,0,
Lindeberg-Lind,Mr Erik Gustaf,,42,M,,Southampton,,,1,0,1,0,
Lindstrom,Mrs Sigrid,,55,F,,Cherbourg,,,1,1,1,0,
Lines,Mrs Elizabeth Lindsey,,50,F,,Cherbourg,,,1,1,1,0,
Lines,Miss Mary Conover,,16,F,,Cherbourg,,,1,1,1,0,
Long,Mr Milton Clyde,,29,M,,Southampton,,,1,0,1,0,
Longley,Miss Gretchen Fiske,,21,F,,Cherbourg,,,1,1,1,0,
Loring,Mr Joseph Holland,,30,M,,Southampton,,,1,0,1,0,
Lurette,Miss Eugenie Elise    ,(Maid to Mr & Mrs Spencer),59,F,,Cherbourg,,,1,1,1,0,
Madill,Miss Georgette Alexandra,,16,F,,Southampton,,,1,1,1,0,
Maguire,Mr John Edward,,30,M,,Southampton,,,1,0,1,0,
Maioni,Miss Roberta Elizabeth Mary    ,(Maid to the Countess of Rothes),19,F,,Southampton,,,1,1,1,0,
Marechal,Mr Pierre,,29,M,,Cherbourg,,,1,1,1,0,
Marvin,Mr Daniel Warner,,18,M,,Southampton,,,1,0,1,0,
Marvin,Mrs Mary Graham Carmichael,,18,F,,Southampton,,,1,1,1,0,
Mayne,Mlle Berthe Antonine,,24,M,,Cherbourg,,,1,1,1,0,
McCaffry,Mr Thomas Francis,,46,M,,Southampton,,,1,0,1,0,
McCarthy,Mr Timothy J.,,54,M,,Southampton,,,1,0,1,0,
McGough,Mr James Robert,,35,M,,Southampton,,,1,1,1,0,
Meyer,Mr Edgar Joseph,,28,M,,Cherbourg,,,1,0,1,0,
Meyer,Mrs Leila,,25,F,,Cherbourg,,,1,1,1,0,
Millet,Mr Francis Davis,,65,M,,Cherbourg,,,1,0,1,0,
Minahan,Dr William Edward,,44,M,,Queenstown,,,1,0,1,0,
Minahan,Mrs Lillian E.,,37,F,,Queenstown,,,1,1,1,0,
Minahan,Miss Daisy E.,,33,F,,Queenstown,,,1,1,1,0,
Mock,Mr Philipp Edmund,,30,M,,Cherbourg,,,1,1,1,0,
Molson,Mr Harry Markland,,55,M,,Southampton,,,1,0,1,0,
Moore,Mr Clarence Bloomfield,,47,M,,Southampton,,,1,0,1,0,
Natsch,Mr Charles,,36,M,,Cherbourg,,,1,0,1,0,
Newell,Mr Arthur Webster,,58,M,,Cherbourg,,,1,0,1,0,
Newell,Miss Marjorie Anne,,23,F,,Cherbourg,,,1,1,1,0,
Newell,Miss Madeleine,,31,F,,Cherbourg,,,1,1,1,0,
Newsom,Miss Helen Monypeny,,19,F,,Southampton,,,1,1,1,0,
Nicholson,Mr Arthur Ernest,,59,M,,Southampton,,,1,0,1,0,
Nourney,Mr Alfred,,20,M,,Cherbourg,,,1,1,1,0,
Oliva Y Ocana,Doña Fermina    ,(Maid to Mrs Victor de Satode Peñasco y Castellana),39,M,,Cherbourg,,,1,1,1,0,
Omont,Mr Alfred Fernand,,29,M,,Cherbourg,,,1,1,1,0,
Ostby,Mr Engelhart Cornelius,,64,M,,Southampton,,,1,0,1,0,
Østby,Miss Helen Ragnhild,,22,F,,Southampton,,,1,1,1,0,
Ovies Y Rodríguez,Mr Servando Jose Florentino,,36,M,,Cherbourg,,,1,0,1,0,
Parr,Mr William Henry Marsh,,29,M,,Belfast,,,1,0,1,0,
Partner,Mr Austin,,40,M,,Southampton,,,1,0,1,0,
Payne,Mr Vivian Ponsonby    ,(Private secretary to Mr Charles Melville Hays),22,M,,Southampton,,,1,0,1,0,
Pears,Mr Thomas Clinton,,29,M,,Southampton,,,1,0,1,0,
Pears,Mrs Edith,,22,F,,Southampton,,,1,1,1,0,
Peñasco Y Castellana,Mr Victor,,24,M,,Cherbourg,,,1,0,1,0,
Peñasco Y Castellana,Mrs Maria Josefa Perezde Soto y Vallejo,,22,F,,Cherbourg,,,1,1,1,0,
Perreault,Miss Mary Anne    ,(Maid to Mrs Charles Melville Hays),33,F,,Southampton,,,1,1,1,0,
Peuchen,Major Arthur Godfrey,,52,M,,Southampton,,,1,1,1,0,
Porter,Mr Walter Chamberlain,,46,M,,Southampton,,,1,0,1,0,
Potter,Mrs Lily Alexenia,,56,F,,Cherbourg,,,1,1,1,0,
Reuchlin,Mr Jonkheer Johan George,,38,M,,Cherbourg,,,1,0,1,0,
Rheims,Mr George Alexander Lucien,,33,M,,Cherbourg,,,1,1,1,0,
Righini,Mr Sante    ,(Manservant to Mrs John Stewart White),22,M,,Cherbourg,,,1,0,1,0,
Robert,Mrs Elisabeth Walton,,43,F,,Southampton,,,1,1,1,0,
Robins,Mr Victor    ,(Valet to Mr John Jacob Astor),42,M,,Cherbourg,,,1,0,1,0,
Roebling,Mr Washington Augustus II,,31,M,,Southampton,,,1,0,1,0,
Romaine,Mr Charles Hallace,,45,M,,Southampton,,,1,1,1,0,
Rood,Mr Hugh Roscoe,,39,M,,Southampton,,,1,0,1,0,
Rosenbaum,Miss Edith Louise,,33,F,,Cherbourg,,,1,1,1,0,
Rosenshine,Mr George,,46,M,,Cherbourg,,,1,0,1,0,
Ross,Mr John Hugo,,36,M,,Southampton,,,1,0,1,0,
Rothes,"Lucy Noël Martha, Countess of",,33,M,,Southampton,,,1,1,1,0,
Rothschild,Mr Martin,,46,M,,Cherbourg,,,1,0,1,0,
Rothschild,Mrs Elizabeth Jane Anne,,54,F,,Cherbourg,,,1,1,1,0,
Rowe,Mr Alfred G.,,59,M,,Southampton,,,1,0,1,0,
Ryerson,Mr Arthur Larned,,61,M,,Cherbourg,,,1,0,1,0,
Ryerson,Mrs Emily Maria,,48,F,,Cherbourg,,,1,1,1,0,
Ryerson,Miss Emily Borie,,18,F,,Cherbourg,,,1,1,1,0,
Ryerson,"Miss Susan Parker ""Suzette""",,21,F,,Cherbourg,,,1,1,1,0,
Ryerson,Master John Borie,,13,M,,Cherbourg,,,1,1,1,0,
Saalfeld,Mr Adolphe,,47,M,,Southampton,,,1,1,1,0,
Salomon,Mr Abraham Lincoln,,43,M,,Cherbourg,,,1,1,1,0,
Sagesser,Mlle Emma    ,(Maid to Mme. Leontine Pauline Aubart),24,M,,Cherbourg,,,1,1,1,0,
Schabert,Mrs Emma,,35,F,,Cherbourg,,,1,1,1,0,
Serreplan,Miss Auguste    ,(Maid to Mrs William Carter),30,F,,Southampton,,,1,1,1,0,
Seward,Mr Frederic Kimber,,34,M,,Southampton,,,1,1,1,0,
Shutes,Miss Elizabeth Weed    ,(Governess to Miss Margaret Edith Graham),40,F,,Southampton,,,1,1,1,0,
Silverthorne,Mr Spencer Victor,,35,M,,Southampton,,,1,1,1,0,
Silvey,Mr William Baird,,51,M,,Cherbourg,,,1,0,1,0,
Silvey,Mrs Alice Gray,,39,F,,Cherbourg,,,1,1,1,0,
Simonius-Blumer,Mr Colonel    ,(Oberst) Alfons,56,M,,Southampton,,,1,1,1,0,
Sloper,Mr William Thompson,,28,M,,Southampton,,,1,1,1,0,
Smart,Mr John Montgomery,,56,M,,Southampton,,,1,0,1,0,
Smith,Mr James Clinch,,56,M,,Cherbourg,,,1,0,1,0,
Smith,Mr Richard William,,57,M,,Southampton,,,1,0,1,0,
Smith,Mr Lucian Philip,,24,M,,Cherbourg,,,1,0,1,0,
Smith,Mrs Mary Eloise,,18,F,,Cherbourg,,,1,1,1,0,
Snyder,Mr John Pillsbury,,24,M,,Southampton,,,1,1,1,0,
Snyder,Mrs Nelle,,23,F,,Southampton,,,1,1,1,0,
Spedden,Mr Frederic Oakley,,45,M,,Cherbourg,,,1,1,1,0,
Spedden,"Mrs Margaretta Corning ""Daisy""",,39,F,,Cherbourg,,,1,1,1,0,
Spedden,Master Robert Douglas,,6,M,,Cherbourg,,,1,1,1,0,
Spencer,Mr William Augustus,,57,M,,Cherbourg,,,1,0,1,0,
Spencer,Mrs Marie Eugenie,,45,F,,Cherbourg,,,1,1,1,0,
Stahelin-Maeglin,Dr Max,,32,M,,Southampton,,,1,1,1,0,
Stead,Mr William Thomas,,62,M,,Southampton,,,1,0,1,0,
Stengel,Mr Charles Emil Henry,,54,M,,Cherbourg,,,1,1,1,0,
Stengel,Mrs Annie May,,44,F,,Cherbourg,,,1,1,1,0,
Stephenson,Mrs Martha,,52,F,,Cherbourg,,,1,1,1,0,
Stewart,Mr Albert Ankeny,,64,M,,Cherbourg,,,1,0,1,0,
Stone,Mrs Martha Evelyn,,62,F,,Southampton,,,1,1,1,0,
Straus,Mr Isidor,,67,M,,Southampton,,,1,0,1,0,
Straus,Mrs Rosalie Ida,,63,F,,Southampton,,,1,0,1,0,
Sutton,Mr Frederick,,61,M,,Southampton,,,1,0,1,0,
Swift,Mrs Margaret Welles,,46,F,,Southampton,,,1,1,1,0,
Taussig,Mr Emil,,52,M,,Southampton,,,1,0,1,0,
Taussig,Mrs Tillie,,39,F,,Southampton,,,1,1,1,0,
Taussig,Miss Ruth,,18,F,,Southampton,,,1,1,1,0,
Taylor,Mr Elmer Zebley,,48,M,,Southampton,,,1,1,1,0,
Taylor,Mrs Juliet Cummins,,49,F,,Southampton,,,1,1,1,0,
Thayer,Mr John Borland,,49,M,,Cherbourg,,,1,0,1,0,
Thayer,Mrs Marian Longstreth,,39,F,,Cherbourg,,,1,1,1,0,
Thayer,Mr John Borland Jr,,17,M,,Cherbourg,,,1,1,1,0,
Thorne,Miss Gertrude Maybelle,,38,F,,Cherbourg,,,1,1,1,0,
Tucker,Mr Gilbert Milligan Jr,,31,M,,Cherbourg,,,1,1,1,0,
Uruchurtu,Don. Manuel Ramirez,,39,M,,Cherbourg,,,1,0,1,0,
Van Der Hoef,Mr Wyckoff,,61,M,,Belfast,,,1,0,1,0,
Walker,Mr William Anderson,,48,M,,Southampton,,,1,0,1,0,
Ward,Miss Annie Moore    ,(Maid to Mrs Charlotte Cardeza),35,F,,Cherbourg,,,1,1,1,0,
Warren,Mr Frank Manley,,63,M,,Cherbourg,,,1,0,1,0,
Warren,Mrs Anna Sophia,,60,F,,Cherbourg,,,1,1,1,0,
Weir,Colonel John,,59,M,,Southampton,,,1,0,1,0,
White,Mr Percival Wayland,,54,M,,Southampton,,,1,0,1,0,
White,Mr Richard Frasar,,21,M,,Southampton,,,1,0,1,0,
White,Mrs Ella,,55,F,,Cherbourg,,,1,1,1,0,
Wick,Colonel George Dennick,,57,M,,Southampton,,,1,0,1,0,
Wick,Mrs Mary Peebles,,45,F,,Southampton,,,1,1,1,0,
Wick,Miss Mary Natalie,,31,F,,Southampton,,,1,1,1,0,
Widener,Mr George Dunton,,50,M,,Southampton,,,1,0,1,0,
Widener,Mrs Eleanor,,50,F,,Southampton,,,1,1,1,0,
Widener,Mr Harry Elkins,,27,M,,Southampton,,,1,0,1,0,
Willard,Miss Constance,,21,F,,Southampton,,,1,1,1,0,
Williams,Mr Fletcher Fellowes Lambert,,43,M,,Southampton,,,1,0,1,0,
Williams,Mr Charles Duane,,51,M,,Cherbourg,,,1,0,1,0,
Williams,Mr Richard Norris II,,21,M,,Cherbourg,,,1,1,1,0,
Wilson,Miss Helen Alice    ,(Maid to Mrs Frederic Oakley Spedden),31,F,,Cherbourg,,,1,1,1,0,
Woolner,Mr Hugh,,45,M,,Southampton,,,1,1,1,0,
Wright,Mr George,,62,M,,Southampton,,,1,0,1,0,
Young,Miss Marie Grice,,36,F,,Cherbourg,,,1,1,1,0,
Abelson,Mr Samuel,,30,M,,Cherbourg,,,2,0,1,0,
Abelson,Mrs Hannah,,28,F,,Cherbourg,,,2,1,1,0,
Aldworth,Mr Augustus Henry,,34,M,,Southampton,,,2,0,1,0,
Andrew,Mr Frank Thomas,,25,M,,Southampton,,,2,0,1,0,
Andrew,Mr Edgar Samuel,,17,M,,Southampton,,,2,0,1,0,
Angle,Mrs Florence Agnes,,36,F,,Southampton,,,2,1,1,0,
Angle,Mr William,,32,M,,Southampton,,,2,0,1,0,
Ashby,Mr John,,57,M,,Southampton,,,2,0,1,0,
Bailey,Mr Percy,,15,M,,Southampton,,,2,0,1,0,
Baimbrigge,Mr Charles Robert,,22,M,,Southampton,,,2,0,1,0,
Balls,Mrs Ada E.,,36,F,,Southampton,,,2,1,1,0,
Banfield,Mr Frederick James,,28,M,,Southampton,,,2,0,1,0,
Bateman,Reverend Robert James,,51,M,,Southampton,,,2,0,1,0,
Beane,Mr Edward,,32,M,,Southampton,,,2,1,1,0,
